,LVFAILURE,HISTORY,LVEDVOLUME,CVP,PCWP,HYPOVOLEMIA,STROKEVOLUME,ERRLOWOUTPUT,HRBP,HR,ERRCAUTER,HREKG,HRSAT,ANAPHYLAXIS,TPR,ARTCO2,EXPCO2,VENTLUNG,INTUBATION,MINVOL,FIO2,PVSAT,VENTALV,SAO2,SHUNT,PULMEMBOLUS,PAP,PRESS,KINKEDTUBE,VENTTUBE,MINVOLSET,VENTMACH,DISCONNECT,CATECHOL,INSUFFANESTH,CO,BP
0,1,1,2,1,1,0,1,1,0,1,1,2,0,1,2,0,1,1,0,3,1,1,3,1,0,1,1,2,1,1,1,2,1,0,1,1,1
1,1,1,2,2,2,0,0,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,0,0
2,1,1,1,1,1,1,1,0,1,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,2,1,1,1,2,2
3,1,1,1,1,1,1,1,1,0,1,1,0,0,1,2,1,1,0,2,2,1,0,2,0,1,1,1,1,1,0,1,0,1,0,1,1,2
4,1,1,2,2,2,0,0,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,0,0
5,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,0,1,1,0,3,1,2,3,2,0,1,1,3,1,0,0,0,1,1,1,2,1
6,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,3,1,0,1,2,0,1,1,1,1
7,1,1,0,0,1,1,1,1,2,2,1,2,2,1,2,2,1,0,0,0,0,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,2
8,1,1,2,1,2,1,1,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,0
9,1,1,2,2,2,0,1,1,2,2,1,2,2,1,0,2,1,0,1,1,1,0,1,0,1,1,1,3,1,1,1,2,1,1,1,2,1
10,1,1,0,0,0,1,2,1,2,2,0,1,1,1,2,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,2,2
11,0,0,0,0,0,0,0,1,2,2,1,2,2,1,0,0,1,1,0,3,1,2,3,2,0,1,1,1,1,3,2,3,1,1,1,0,0
12,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,1,1,1,2,3,1,0,1,2,0,1,1,1,1
13,1,1,1,1,1,1,1,1,0,1,1,0,0,1,2,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,1,2
14,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,2,2
15,1,1,1,1,1,1,1,1,0,1,1,0,0,1,2,0,1,1,0,3,1,2,3,2,0,1,1,3,1,0,1,2,0,0,1,1,1
16,1,1,1,1,1,1,2,1,2,2,1,2,2,1,1,2,2,1,2,0,1,0,1,0,1,1,1,3,1,1,1,2,1,1,1,2,2
17,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,0,2,2
18,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,2,2,1,0,2,0,1,1,1,3,1,1,1,2,1,1,1,1,1
19,1,1,1,1,1,1,0,1,2,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,3,0,1,1,2,1,1,1,0,2
20,1,1,2,2,2,0,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,2,2
21,1,1,1,0,1,1,2,1,2,2,1,2,2,1,1,1,0,1,0,3,1,2,3,2,0,1,1,3,1,0,1,2,0,1,1,2,1
22,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,0,1,0,3,1,0,2,0,0,1,1,3,1,0,1,0,1,1,1,2,1
23,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,1
24,1,1,1,1,1,1,1,1,0,1,1,0,0,1,2,1,1,0,0,0,1,2,2,2,0,1,2,3,1,1,1,2,1,0,1,1,2
25,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,2,1,0,0,0,1,0,0,0,0,1,1,3,0,1,1,2,1,1,1,1,1
26,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,0,0,0,1,2,3,0,1,1,2,1,1,1,2,0
